date,year,month,official median PCE ,schoenle-smith median,official trimmed mean,schoenle-smith trimmed mean
2010m1,2010,1,1.52,1.69,1.20,1.48
2010m2,2010,2,1.36,1.63,1.08,1.43
2010m3,2010,3,1.25,1.65,1.00,1.43
2010m4,2010,4,1.17,1.63,0.93,1.40
2010m5,2010,5,1.08,1.55,0.88,1.45
2010m6,2010,6,1.00,1.52,0.81,1.40
2010m7,2010,7,1.03,1.55,0.85,1.47
2010m8,2010,8,1.09,1.60,0.85,1.54
2010m9,2010,9,1.15,1.62,0.88,1.55
2010m10,2010,10,0.99,1.34,0.80,1.30
2010m11,2010,11,0.93,1.28,0.85,1.27
2010m12,2010,12,0.97,1.30,0.89,1.27
2011m1,2011,1,1.07,1.30,1.00,1.36
2011m2,2011,2,1.20,1.45,1.16,1.48
2011m3,2011,3,1.31,1.42,1.29,1.45
2011m4,2011,4,1.45,1.53,1.42,1.54
2011m5,2011,5,1.61,1.72,1.56,1.68
2011m6,2011,6,1.70,1.77,1.62,1.76
2011m7,2011,7,1.83,1.85,1.70,1.85
2011m8,2011,8,1.88,1.93,1.79,2.03
2011m9,2011,9,1.93,1.91,1.84,2.16
2011m10,2011,10,2.03,2.00,1.93,2.15
2011m11,2011,11,2.08,2.05,1.99,2.20
2011m12,2011,12,2.17,2.15,2.06,2.33
2012m1,2012,1,2.16,2.30,2.09,2.31
2012m2,2012,2,2.15,2.24,2.02,2.29
2012m3,2012,3,2.18,2.30,2.02,2.29
2012m4,2012,4,2.18,2.21,1.99,2.27
2012m5,2012,5,2.09,2.12,1.92,2.09
2012m6,2012,6,2.04,2.08,1.90,2.11
2012m7,2012,7,2.02,2.10,1.84,2.12
2012m8,2012,8,1.99,2.03,1.79,1.91
2012m9,2012,9,1.99,2.04,1.79,1.99
2012m10,2012,10,1.98,2.07,1.78,2.04
2012m11,2012,11,1.98,2.06,1.70,2.02
2012m12,2012,12,1.93,2.02,1.62,1.95
2013m1,2013,1,1.92,1.93,1.58,1.78
2013m2,2013,2,1.98,1.97,1.62,1.81
2013m3,2013,3,1.95,1.92,1.57,1.65
2013m4,2013,4,1.92,1.87,1.43,1.64
2013m5,2013,5,1.97,1.88,1.41,1.62
2013m6,2013,6,2.07,1.97,1.51,1.73
2013m7,2013,7,2.07,1.95,1.56,1.76
2013m8,2013,8,2.04,2.03,1.55,1.68
2013m9,2013,9,2.06,2.05,1.54,1.64
2013m10,2013,10,2.06,2.10,1.55,1.70
2013m11,2013,11,2.12,2.11,1.62,1.73
2013m12,2013,12,2.12,2.08,1.68,1.71
2014m1,2014,1,2.15,2.06,1.64,1.58
2014m2,2014,2,2.09,1.98,1.59,1.57
2014m3,2014,3,2.10,1.95,1.62,1.49
2014m4,2014,4,2.15,2.07,1.77,1.90
2014m5,2014,5,2.15,2.06,1.82,1.93
2014m6,2014,6,2.14,2.06,1.78,1.77
2014m7,2014,7,2.21,2.11,1.80,1.65
2014m8,2014,8,2.19,2.06,1.74,1.71
2014m9,2014,9,2.22,2.11,1.75,1.68
2014m10,2014,10,2.26,2.09,1.73,1.42
2014m11,2014,11,2.28,2.15,1.70,1.42
2014m12,2014,12,2.28,2.21,1.67,1.41
2015m1,2015,1,2.25,2.23,1.57,1.46
2015m2,2015,2,2.30,2.28,1.62,1.46
2015m3,2015,3,2.31,2.32,1.62,1.33
2015m4,2015,4,2.34,2.35,1.62,1.41
2015m5,2015,5,2.38,2.34,1.60,1.27
2015m6,2015,6,2.35,2.36,1.62,1.33
2015m7,2015,7,2.32,2.29,1.59,1.28
2015m8,2015,8,2.33,2.23,1.62,1.30
2015m9,2015,9,2.29,2.17,1.61,1.30
2015m10,2015,10,2.20,2.11,1.56,1.24
2015m11,2015,11,2.14,2.03,1.52,1.22
2015m12,2015,12,2.12,1.95,1.51,1.13
2016m1,2016,1,2.19,2.02,1.63,1.22
2016m2,2016,2,2.20,2.01,1.63,1.27
2016m3,2016,3,2.22,2.07,1.64,1.30
2016m4,2016,4,2.22,2.08,1.68,1.26
2016m5,2016,5,2.23,2.14,1.70,1.40
2016m6,2016,6,2.21,2.08,1.68,1.27
2016m7,2016,7,2.21,2.18,1.71,1.42
2016m8,2016,8,2.25,2.23,1.75,1.45
2016m9,2016,9,2.24,2.25,1.79,1.46
2016m10,2016,10,2.28,2.24,1.88,1.53
2016m11,2016,11,2.26,2.22,1.92,1.54
2016m12,2016,12,2.31,2.28,1.97,1.70
2017m1,2017,1,2.30,2.27,2.03,1.72
2017m2,2017,2,2.25,2.23,1.98,1.68
2017m3,2017,3,2.23,2.16,1.93,1.53
2017m4,2017,4,2.19,2.11,1.90,1.59
2017m5,2017,5,2.08,2.03,1.82,1.51
2017m6,2017,6,2.09,2.08,1.82,1.43
2017m7,2017,7,2.00,2.02,1.75,1.58
2017m8,2017,8,1.96,1.94,1.73,1.47
2017m9,2017,9,2.02,1.95,1.75,1.48
2017m10,2017,10,2.05,1.99,1.73,1.61
2017m11,2017,11,2.09,2.01,1.73,1.73
2017m12,2017,12,2.09,2.01,1.76,1.79
2018m1,2018,1,2.11,2.03,1.74,1.80
2018m2,2018,2,2.14,2.12,1.77,1.96
2018m3,2018,3,2.14,2.11,1.82,2.04
2018m4,2018,4,2.11,2.08,1.78,2.08
2018m5,2018,5,2.25,2.11,1.89,2.14
2018m6,2018,6,2.32,2.15,1.93,2.15
2018m7,2018,7,2.35,2.18,1.98,2.06
2018m8,2018,8,2.36,2.20,1.98,2.06
2018m9,2018,9,2.35,2.26,1.98,2.13
2018m10,2018,10,2.34,2.22,1.99,2.02
2018m11,2018,11,2.46,2.26,2.07,2.14
2018m12,2018,12,2.50,2.34,2.05,2.12
2019m1,2019,1,2.37,2.20,1.89,1.90
2019m2,2019,2,2.40,2.22,1.92,1.80
2019m3,2019,3,2.47,2.25,1.96,1.65
2019m4,2019,4,2.63,2.40,2.10,1.86
2019m5,2019,5,2.53,2.44,2.01,1.77
2019m6,2019,6,2.47,2.38,1.98,1.79
2019m7,2019,7,2.54,2.41,2.02,1.77
2019m8,2019,8,2.60,2.49,2.06,1.87
2019m9,2019,9,2.54,2.42,2.00,1.65
2019m10,2019,10,2.55,2.47,2.02,1.75
2019m11,2019,11,2.40,2.46,1.94,1.75
2019m12,2019,12,2.38,2.47,1.94,1.98
2020m1,2020,1,2.49,2.66,2.09,2.10
2020m2,2020,2,2.50,2.66,2.11,2.05
2020m3,2020,3,2.46,2.66,2.04,1.96
2020m4,2020,4,2.31,2.51,1.87,2.06
2020m5,2020,5,2.40,2.56,1.93,2.19
2020m6,2020,6,2.40,2.51,1.94,2.14
2020m7,2020,7,2.38,2.48,1.96,2.06
2020m8,2020,8,2.31,2.47,1.98,2.05
2020m9,2020,9,2.25,2.49,1.99,2.13
2020m10,2020,10,2.20,2.40,1.87,2.07
2020m11,2020,11,2.13,2.29,1.80,1.88
2020m12,2020,12,2.09,2.18,1.81,1.96
2021m1,2021,1,2.00,2.02,1.69,1.89
2021m2,2021,2,2.02,2.06,1.70,1.84
2021m3,2021,3,2.07,2.08,1.74,2.16
2021m4,2021,4,2.10,2.12,1.84,2.28
2021m5,2021,5,2.09,2.19,1.90,2.36
2021m6,2021,6,2.16,2.26,1.94,2.36
2021m7,2021,7,2.25,2.37,1.97,2.54
2021m8,2021,8,2.36,2.44,2.03,2.56
2021m9,2021,9,2.70,2.66,2.27,2.74
2021m10,2021,10,2.98,2.98,2.55,3.02
2021m11,2021,11,3.32,3.23,2.83,3.22
2021m12,2021,12,3.59,3.49,3.05,3.55
2022m1,2022,1,,,3.49,
2022m2,2022,2,,,3.62,
2022m3,2022,3,,,3.70,
