date,Headline PCE,Core PCE,Cleveland median,Dallas trimmed mean
1960-01-01,1.6948034819308901,2.0708341397329235,NA,NA
1960-02-01,1.6997167138810028,2.1852639721523985,0.7413407132657,1.1533450522366309
1960-03-01,1.6920139574692286,2.0732728092202706,0.7324073674544849,1.1590950691697088
1960-04-01,1.8595177081279957,2.0038535645471995,0.7324073674544849,1.1238521161237855
1960-05-01,1.9110790044000794,2.0463147090897422,0.702995453276543,1.0716888537543952
1960-06-01,1.6632833475214426,1.8036456667732637,0.6892561488002826,1.031241134182693
1960-07-01,1.6336666013200016,1.741960183767219,0.44337862600454514,0.86474670850167
1960-08-01,1.6574225122349304,1.7264445435433657,0.6043471716734103,0.8956161356422854
1960-09-01,1.4513504718516117,1.5440335493709654,0.611439976747576,0.875050922027043
1960-10-01,1.3245033112582831,1.4272121788772694,0.4345037699669234,0.7927173838575783
1960-11-01,1.602647287827665,1.5132328732430125,0.42293337450021795,0.704028959520457
1960-12-01,1.5035644847699388,1.327601466683518,0.45223112808608334,0.7793773428695516
1961-01-01,1.5822579599247746,1.3272658323852937,0.45632502125150154,0.7487823145559958
1961-02-01,1.5676621105137087,1.2364370426444395,0.45632502125150154,0.7314328203227802
1961-03-01,1.450213647546292,1.2615908660821304,0.45632502125150154,0.6949377132143866
1961-04-01,1.025674106566882,1.2152121899005124,0.45632502125150154,0.6732187025134948
1961-05-01,0.9795076685139747,1.1817953231078775,0.234668484950447,0.5621987653378682
1961-06-01,0.9790660225442736,1.2753659609222865,0.234668484950447,0.5296588841781045
1961-07-01,1.0158811804796386,1.2543116964565542,0.234668484950447,0.5439530328789317
1961-08-01,0.9307400988510182,1.2149298597194331,0.06805565679799486,0.49252367907783423
1961-09-01,0.9879394405953406,1.3328327388774142,0.06100115869034539,0.4511936209158307
1961-10-01,0.8650519031141926,1.3070669168230324,0.06499385500168842,0.45291584777997684
1961-11-01,0.5300466185580177,1.0540759683153453,0.06499385500168842,0.4261969067494533
1961-12-01,0.5363299706295521,1.1729473421512466,0.03900803864715385,0.33975210458754646
1962-01-01,0.7085860197893368,1.26621756487026,0.030392156463136644,0.28342905547629016
1962-02-01,0.8865361311308106,1.333499501495524,0.22592844824676206,0.4638424215698933
1962-03-01,1.0784939374601095,1.5386532112377864,0.24340920667495425,0.5289707525043355
1962-04-01,1.251516505970244,1.4183514774494625,0.4212523364519143,0.6636552411146965
1962-05-01,1.2571793235481863,1.4289264413518907,0.41363543321037355,0.5922875826035181
1962-06-01,1.2757542897237926,1.4640198511166318,0.41363543321037355,0.628573931350914
1962-07-01,0.9992998536057627,1.3936203158872758,0.41363543321037355,0.6491132726235378
1962-08-01,1.0620707199185944,1.2993441405766646,0.40252732058456786,0.5828976757338751
1962-09-01,1.442002286875848,1.2967765839199785,0.41099939275743225,0.6430960215799644
1962-10-01,1.3468013468013424,1.2593369961108465,0.40519116227710583,0.6753267289559233
1962-11-01,1.4102401219667087,1.3146525120355363,0.40519116227710583,0.6340751007163163
1962-12-01,1.346373682204998,1.2580167735569887,0.40198045649677283,0.6203910388267104
1963-01-01,1.4008620689655231,1.3304588851247274,0.40198045649677283,0.6181213497804521
1963-02-01,1.2390947022379493,1.2790554667322596,0.294970232993677,0.5767572991828729
1963-03-01,1.022791842919375,1.1042944785276063,0.28105259382907377,0.5318088254183664
1963-04-01,0.901809926215563,1.2083665583021457,0.10345775373623667,0.4024642246464083
1963-05-01,1.0020797882397403,1.249540610069829,0.10345775373623667,0.4294233801473979
1963-06-01,1.1589091138124274,1.2350207874785895,0.30593858223215875,0.545979411229851
1963-07-01,1.4179480715906152,1.2400733048258985,0.30593858223215875,0.5506537251559678
1963-08-01,1.4096029198917677,1.3193256779868108,0.30593858223215875,0.5695389308132661
1963-09-01,0.895485002191748,1.3045598634479347,0.2974753744543648,0.5216411593857089
1963-10-01,1.1909985582649227,1.536304334572975,0.2947103019383235,0.44835693040541
1963-11-01,1.2653470308193562,1.553457203777043,0.48741392881126444,0.6349459515692786
1963-12-01,1.4538162677027344,1.6686967113276268,0.48741392881126444,0.6448750071649272
1964-01-01,1.4190160655122952,1.61692298340526,0.49288978374717374,0.6818867230546317
1964-02-01,1.4549768952167028,1.69398907103826,0.4464460376458561,0.6288266052680882
1964-03-01,1.5999000062496123,1.7293689320388381,0.47516477766464504,0.6562046230901046
1964-04-01,1.6812499999999915,1.6969696969697026,0.47516477766464504,0.6460948047632087
1964-05-01,1.5287657556470862,1.5970961887477273,0.47516477766464504,0.6537559465943303
1964-06-01,1.4507191333042755,1.497765430607572,0.2723423436691945,0.5067280206300495
1964-07-01,1.3794817622568871,1.5084776443613066,0.2723423436691945,0.45773369381379325
1964-08-01,1.3155445237356815,1.5493127562092894,0.2723423436691945,0.4194384667341353
1964-09-01,1.4895729890764784,1.4081116861234904,0.2723423436691945,0.44660070960746623
1964-10-01,1.356625162609177,1.2248574001801273,0.2723423436691945,0.42643527832397865
1964-11-01,1.3546950389706751,1.2777444511097542,0.08005115724898815,0.3022071900016954
1964-12-01,1.3526868437306945,1.275907511680856,0.08475383568597294,0.32833201930391454
1965-01-01,1.2512327416173576,1.2741520607764585,0.0838685909176462,0.3358839369710438
1965-02-01,1.1509817197021164,1.2000716460684373,0.13662082960266275,0.3473814583242216
1965-03-01,1.21793688872485,1.163137488815977,0.10643868834516468,0.2716933253011007
1965-04-01,1.3030917696232223,1.1918951132300322,0.10643868834516468,0.3052658906069752
1965-05-01,1.5180382275213447,1.2921281410027206,0.15885729742399235,0.39430309782876805
1965-06-01,1.6693261323186306,1.1960014280613933,0.1673720349312191,0.4690768446024265
1965-07-01,1.6120134845234162,1.1947928431314239,0.17664335777784856,0.5518714787368566
