date,measure,value
1962-11-01,Core PCE,1.3146525120355363
1962-11-01,Cleveland median,0.40519116227710583
1962-11-01,Dallas trimmed mean,0.6340751007163163
1962-12-01,Headline PCE,1.346373682204998
1962-12-01,Core PCE,1.2580167735569887
1962-12-01,Cleveland median,0.40198045649677283
1962-12-01,Dallas trimmed mean,0.6203910388267104
1963-01-01,Headline PCE,1.4008620689655231
1963-01-01,Core PCE,1.3304588851247274
1963-01-01,Cleveland median,0.40198045649677283
1963-01-01,Dallas trimmed mean,0.6181213497804521
1963-02-01,Headline PCE,1.2390947022379493
1963-02-01,Core PCE,1.2790554667322596
1963-02-01,Cleveland median,0.294970232993677
1963-02-01,Dallas trimmed mean,0.5767572991828729
1963-03-01,Headline PCE,1.022791842919375
1963-03-01,Core PCE,1.1042944785276063
1963-03-01,Cleveland median,0.28105259382907377
1963-03-01,Dallas trimmed mean,0.5318088254183664
1963-04-01,Headline PCE,0.901809926215563
1963-04-01,Core PCE,1.2083665583021457
1963-04-01,Cleveland median,0.10345775373623667
1963-04-01,Dallas trimmed mean,0.4024642246464083
1963-05-01,Headline PCE,1.0020797882397403
1963-05-01,Core PCE,1.249540610069829
1963-05-01,Cleveland median,0.10345775373623667
1963-05-01,Dallas trimmed mean,0.4294233801473979
1963-06-01,Headline PCE,1.1589091138124274
1963-06-01,Core PCE,1.2350207874785895
1963-06-01,Cleveland median,0.30593858223215875
1963-06-01,Dallas trimmed mean,0.545979411229851
1963-07-01,Headline PCE,1.4179480715906152
1963-07-01,Core PCE,1.2400733048258985
1963-07-01,Cleveland median,0.30593858223215875
1963-07-01,Dallas trimmed mean,0.5506537251559678
1963-08-01,Headline PCE,1.4096029198917677
1963-08-01,Core PCE,1.3193256779868108
1963-08-01,Cleveland median,0.30593858223215875
1963-08-01,Dallas trimmed mean,0.5695389308132661
1963-09-01,Headline PCE,0.895485002191748
1963-09-01,Core PCE,1.3045598634479347
1963-09-01,Cleveland median,0.2974753744543648
1963-09-01,Dallas trimmed mean,0.5216411593857089
1963-10-01,Headline PCE,1.1909985582649227
1963-10-01,Core PCE,1.536304334572975
1963-10-01,Cleveland median,0.2947103019383235
1963-10-01,Dallas trimmed mean,0.44835693040541
1963-11-01,Headline PCE,1.2653470308193562
1963-11-01,Core PCE,1.553457203777043
1963-11-01,Cleveland median,0.48741392881126444
1963-11-01,Dallas trimmed mean,0.6349459515692786
1963-12-01,Headline PCE,1.4538162677027344
1963-12-01,Core PCE,1.6686967113276268
1963-12-01,Cleveland median,0.48741392881126444
1963-12-01,Dallas trimmed mean,0.6448750071649272
1964-01-01,Headline PCE,1.4190160655122952
1964-01-01,Core PCE,1.61692298340526
1964-01-01,Cleveland median,0.49288978374717374
1964-01-01,Dallas trimmed mean,0.6818867230546317
1964-02-01,Headline PCE,1.4549768952167028
1964-02-01,Core PCE,1.69398907103826
1964-02-01,Cleveland median,0.4464460376458561
1964-02-01,Dallas trimmed mean,0.6288266052680882
1964-03-01,Headline PCE,1.5999000062496123
1964-03-01,Core PCE,1.7293689320388381
1964-03-01,Cleveland median,0.47516477766464504
1964-03-01,Dallas trimmed mean,0.6562046230901046
1964-04-01,Headline PCE,1.6812499999999915
1964-04-01,Core PCE,1.6969696969697026
1964-04-01,Cleveland median,0.47516477766464504
1964-04-01,Dallas trimmed mean,0.6460948047632087
1964-05-01,Headline PCE,1.5287657556470862
1964-05-01,Core PCE,1.5970961887477273
1964-05-01,Cleveland median,0.47516477766464504
1964-05-01,Dallas trimmed mean,0.6537559465943303
1964-06-01,Headline PCE,1.4507191333042755
1964-06-01,Core PCE,1.497765430607572
1964-06-01,Cleveland median,0.2723423436691945
1964-06-01,Dallas trimmed mean,0.5067280206300495
1964-07-01,Headline PCE,1.3794817622568871
1964-07-01,Core PCE,1.5084776443613066
1964-07-01,Cleveland median,0.2723423436691945
1964-07-01,Dallas trimmed mean,0.45773369381379325
1964-08-01,Headline PCE,1.3155445237356815
1964-08-01,Core PCE,1.5493127562092894
1964-08-01,Cleveland median,0.2723423436691945
1964-08-01,Dallas trimmed mean,0.4194384667341353
1964-09-01,Headline PCE,1.4895729890764784
1964-09-01,Core PCE,1.4081116861234904
1964-09-01,Cleveland median,0.2723423436691945
1964-09-01,Dallas trimmed mean,0.44660070960746623
1964-10-01,Headline PCE,1.356625162609177
1964-10-01,Core PCE,1.2248574001801273
1964-10-01,Cleveland median,0.2723423436691945
1964-10-01,Dallas trimmed mean,0.42643527832397865
1964-11-01,Headline PCE,1.3546950389706751
1964-11-01,Core PCE,1.2777444511097542
1964-11-01,Cleveland median,0.08005115724898815
1964-11-01,Dallas trimmed mean,0.3022071900016954
1964-12-01,Headline PCE,1.3526868437306945
1964-12-01,Core PCE,1.275907511680856
1964-12-01,Cleveland median,0.08475383568597294
1964-12-01,Dallas trimmed mean,0.32833201930391454
1965-01-01,Headline PCE,1.2512327416173576
1965-01-01,Core PCE,1.2741520607764585
1965-01-01,Cleveland median,0.0838685909176462
1965-01-01,Dallas trimmed mean,0.3358839369710438
1965-02-01,Headline PCE,1.1509817197021164
1965-02-01,Core PCE,1.2000716460684373
1965-02-01,Cleveland median,0.13662082960266275
1965-02-01,Dallas trimmed mean,0.3473814583242216
1965-03-01,Headline PCE,1.21793688872485
1965-03-01,Core PCE,1.163137488815977
1965-03-01,Cleveland median,0.10643868834516468
1965-03-01,Dallas trimmed mean,0.2716933253011007
1965-04-01,Headline PCE,1.3030917696232223
1965-04-01,Core PCE,1.1918951132300322
1965-04-01,Cleveland median,0.10643868834516468
1965-04-01,Dallas trimmed mean,0.3052658906069752
1965-05-01,Headline PCE,1.5180382275213447
1965-05-01,Core PCE,1.2921281410027206
1965-05-01,Cleveland median,0.15885729742399235
1965-05-01,Dallas trimmed mean,0.39430309782876805
1965-06-01,Headline PCE,1.6693261323186306
1965-06-01,Core PCE,1.1960014280613933
1965-06-01,Cleveland median,0.1673720349312191
1965-06-01,Dallas trimmed mean,0.4690768446024265
1965-07-01,Headline PCE,1.6120134845234162
1965-07-01,Core PCE,1.1947928431314239
1965-07-01,Cleveland median,0.17664335777784856
1965-07-01,Dallas trimmed mean,0.5518714787368566
1965-08-01,Headline PCE,1.5618300973846857
1965-08-01,Core PCE,1.2525972098545708
1965-08-01,Cleveland median,0.17664335777784856
1965-08-01,Dallas trimmed mean,0.5989706078006947
1965-09-01,Headline PCE,1.455479452054803
1965-09-01,Core PCE,1.3292190837882742
1965-09-01,Cleveland median,0.1930805787734471
1965-09-01,Dallas trimmed mean,0.6329124537634243
1965-10-01,Headline PCE,1.4240312920180855
1965-10-01,Core PCE,1.2515570318524283
1965-10-01,Cleveland median,0.19590236266337513
1965-10-01,Dallas trimmed mean,0.7242333490269601
1965-11-01,Headline PCE,1.4525480622520632
1965-11-01,Core PCE,1.2971628265118937
1965-11-01,Cleveland median,0.19823456094003689
1965-11-01,Dallas trimmed mean,0.7852653783613874
1965-12-01,Headline PCE,1.6698153452373816
1965-12-01,Core PCE,1.460933341219615
1965-12-01,Cleveland median,0.37500153055620444
1965-12-01,Dallas trimmed mean,0.8527683028232644
1966-01-01,Headline PCE,1.6801607110245271
1966-01-01,Core PCE,1.3526284701712825
1966-01-01,Cleveland median,0.6017096517229277
1966-01-01,Dallas trimmed mean,0.9821028587681582
1966-02-01,Headline PCE,2.0567116952658893
1966-02-01,Core PCE,1.48082595870207
1966-02-01,Cleveland median,0.7038560535990541
1966-02-01,Dallas trimmed mean,1.0331404437933713
1966-03-01,Headline PCE,2.1756305074445663
1966-03-01,Core PCE,1.550707547169793
1966-03-01,Cleveland median,0.9278038398659731
1966-03-01,Dallas trimmed mean,1.2119141246219982
1966-04-01,Headline PCE,2.3663612644863434
1966-04-01,Core PCE,1.7962308598350916
1966-04-01,Cleveland median,0.930640563884026
1966-04-01,Dallas trimmed mean,1.2875868812758426
1966-05-01,Headline PCE,2.264196633975061
1966-05-01,Core PCE,1.8811357357004397
1966-05-01,Cleveland median,1.22881949295504
1966-05-01,Dallas trimmed mean,1.4630492508592994
1966-06-01,Headline PCE,2.2214173608596184
1966-06-01,Core PCE,2.234374081260654
1966-06-01,Cleveland median,1.3304401771439274
1966-06-01,Dallas trimmed mean,1.4872717779468587
1966-07-01,Headline PCE,2.3464832911086972
1966-07-01,Core PCE,2.4318609022556217
1966-07-01,Cleveland median,1.5271896243808385
1966-07-01,Dallas trimmed mean,1.5524932403644414
1966-08-01,Headline PCE,2.7137860330478816
1966-08-01,Core PCE,2.4272983114446305
1966-08-01,Cleveland median,1.7452030807926064
1966-08-01,Dallas trimmed mean,1.6649234786100209
1966-09-01,Headline PCE,2.9897528631705796
1966-09-01,Core PCE,2.6235652377606016
1966-09-01,Cleveland median,1.9229951616640335
1966-09-01,Dallas trimmed mean,1.7098194361882406
1966-10-01,Headline PCE,3.2298885206387524
1966-10-01,Core PCE,2.993555946104266
1966-10-01,Cleveland median,2.265406606266353
1966-10-01,Dallas trimmed mean,1.8869728862254647
1966-11-01,Headline PCE,3.2064007700174386
1966-11-01,Core PCE,3.058121857092729
1966-11-01,Cleveland median,2.6083001241261172
1966-11-01,Dallas trimmed mean,2.0955020262120883
1966-12-01,Headline PCE,3.051010010190012
1966-12-01,Core PCE,3.0605106680657457
1966-12-01,Cleveland median,2.5953653348084345
1966-12-01,Dallas trimmed mean,2.097563232407353
1967-01-01,Headline PCE,2.9336047416631743
1967-01-01,Core PCE,3.1237251588087815
1967-01-01,Cleveland median,2.581909601966643
1967-01-01,Dallas trimmed mean,2.070488231927854
1967-02-01,Headline PCE,2.629382303839762
1967-02-01,Core PCE,3.0579617464100863
1967-02-01,Cleveland median,2.621198456702018
1967-02-01,Dallas trimmed mean,2.076970476376559
1967-03-01,Headline PCE,2.432641408433952
1967-03-01,Core PCE,3.083086570283939
1967-03-01,Cleveland median,2.6608619447365385
1967-03-01,Dallas trimmed mean,2.0957692997561423
1967-04-01,Headline PCE,2.25238575069649
1967-04-01,Core PCE,2.996818050332678
1967-04-01,Cleveland median,2.6625195830713153
1967-04-01,Dallas trimmed mean,2.056254654171383
1967-05-01,Headline PCE,2.3206251479990385
1967-05-01,Core PCE,2.9484738330159814
1967-05-01,Cleveland median,2.5171685694569845
1967-05-01,Dallas trimmed mean,1.9128732598639573
1967-06-01,Headline PCE,2.391638124483265
1967-06-01,Core PCE,2.875711738655312
1967-06-01,Cleveland median,2.6010678790080846
1967-06-01,Dallas trimmed mean,1.9174824485278492
1967-07-01,Headline PCE,2.5402251429245126
1967-07-01,Core PCE,2.924647321940597
1967-07-01,Cleveland median,2.689919814512294
1967-07-01,Dallas trimmed mean,1.9899572421949472
1967-08-01,Headline PCE,2.465946453734148
1967-08-01,Core PCE,3.050944476244993
1967-08-01,Cleveland median,2.747688949029083
1967-08-01,Dallas trimmed mean,2.0283488330568105
1967-09-01,Headline PCE,2.4523001287603847
1967-09-01,Core PCE,3.098607623830162
1967-09-01,Cleveland median,2.793799037484291
1967-09-01,Dallas trimmed mean,2.086437897487926
1967-10-01,Headline PCE,2.4692078687758965
1967-10-01,Core PCE,3.145441101188794
1967-10-01,Cleveland median,2.7867904319802506
1967-10-01,Dallas trimmed mean,2.1497494821448413
1967-11-01,Headline PCE,2.6579622289577998
1967-11-01,Core PCE,3.2170212765957586
1967-11-01,Cleveland median,2.7617826864315305
1967-11-01,Dallas trimmed mean,2.1308637423522754
1967-12-01,Headline PCE,2.6058631921824116
1967-12-01,Core PCE,3.1562871203122427
1967-12-01,Cleveland median,2.8537363777525258
1967-12-01,Dallas trimmed mean,2.2301196794954024
1968-01-01,Headline PCE,3.076833595067768
1968-01-01,Core PCE,3.5207685786945433
1968-01-01,Cleveland median,2.8958337606572115
1968-01-01,Dallas trimmed mean,2.2831360609999223
1968-02-01,Headline PCE,3.3753558357055624
1968-02-01,Core PCE,3.7795453263383507
1968-02-01,Cleveland median,3.030678291135388
1968-02-01,Dallas trimmed mean,2.4671765093213054
1968-03-01,Headline PCE,3.6581117175705344
1968-03-01,Core PCE,4.032893995719263
1968-03-01,Cleveland median,3.1431741728125075
1968-03-01,Dallas trimmed mean,2.574432486156695
1968-04-01,Headline PCE,3.808474871021957
1968-04-01,Core PCE,4.128517665561972
1968-04-01,Cleveland median,3.40189771773656
1968-04-01,Dallas trimmed mean,2.7188166698632443
1968-05-01,Headline PCE,3.992131451052998
1968-05-01,Core PCE,4.29324066808654
1968-05-01,Cleveland median,3.5530860707403917
1968-05-01,Dallas trimmed mean,2.887810822466548
1968-06-01,Headline PCE,3.996770286637073
1968-06-01,Core PCE,4.43897802873596
1968-06-01,Cleveland median,3.744104072393384
1968-06-01,Dallas trimmed mean,3.1278767543620773
1968-07-01,Headline PCE,3.960225313254398
1968-07-01,Core PCE,4.429462892801411
1968-07-01,Cleveland median,3.8232230178640663
1968-07-01,Dallas trimmed mean,3.1867506906550602
1968-08-01,Headline PCE,4.062571625028653
1968-08-01,Core PCE,4.5159140143309315
1968-08-01,Cleveland median,3.814913155293141
1968-08-01,Dallas trimmed mean,3.1961233694917723
1968-09-01,Headline PCE,4.107397886318196
1968-09-01,Core PCE,4.566336414457297
1968-09-01,Cleveland median,3.940636461614801
1968-09-01,Dallas trimmed mean,3.3759832754114
1968-10-01,Headline PCE,4.272530477384066
1968-10-01,Core PCE,4.604610124627783
1968-10-01,Cleveland median,3.9755841322896686
1968-10-01,Dallas trimmed mean,3.395125531409974
1968-11-01,Headline PCE,4.281171928230762
1968-11-01,Core PCE,4.666886543535625
1968-11-01,Cleveland median,4.035971584600034
1968-11-01,Dallas trimmed mean,3.487774550227968
1968-12-01,Headline PCE,4.33106575963717
1968-12-01,Core PCE,4.721171245270611
1968-12-01,Cleveland median,4.160419084164644
1968-12-01,Dallas trimmed mean,3.5911992785872826
1969-01-01,Headline PCE,4.254598803746745
1969-01-01,Core PCE,4.651162790697683
1969-01-01,Cleveland median,4.271722115837392
1969-01-01,Dallas trimmed mean,3.6975864560137666
1969-02-01,Headline PCE,4.096886590985733
1969-02-01,Core PCE,4.560526172745554
1969-02-01,Cleveland median,4.266657899538814
1969-02-01,Dallas trimmed mean,3.662933853286731
1969-03-01,Headline PCE,4.246022854582108
1969-03-01,Core PCE,4.63454250135355
1969-03-01,Cleveland median,4.1438267749142454
1969-03-01,Dallas trimmed mean,3.571121004031923
1969-04-01,Headline PCE,4.3779316506589225
1969-04-01,Core PCE,4.649908296472091
1969-04-01,Cleveland median,4.260313770155591
1969-04-01,Dallas trimmed mean,3.740808821115678
1969-05-01,Headline PCE,4.41192834093691
1969-05-01,Core PCE,4.675408426483244
1969-05-01,Cleveland median,4.2817059747865045
1969-05-01,Dallas trimmed mean,3.8075678447942067
1969-06-01,Headline PCE,4.5807453416149
1969-06-01,Core PCE,4.625020073871838
1969-06-01,Cleveland median,4.249561205005989
1969-06-01,Dallas trimmed mean,3.7914960189492604
1969-07-01,Headline PCE,4.721623265328674
1969-07-01,Core PCE,4.764445392946712
