date,lo,hi,diff,cat
1960-01-01,2.0708341397329235,2.0708341397329235,0,0
1960-02-01,0.7413407132657,2.1852639721523985,1.4439232588866986,0
1960-03-01,0.7324073674544849,2.0732728092202706,1.3408654417657857,0
1960-04-01,0.7324073674544849,2.0038535645471995,1.2714461970927147,0
1960-05-01,0.702995453276543,2.0463147090897422,1.3433192558131992,0
1960-06-01,0.6892561488002826,1.8036456667732637,1.114389517972981,0
1960-07-01,0.44337862600454514,1.741960183767219,1.2985815577626738,0
1960-08-01,0.6043471716734103,1.7264445435433657,1.1220973718699554,0
1960-09-01,0.611439976747576,1.5440335493709654,0.9325935726233894,0
1960-10-01,0.4345037699669234,1.4272121788772694,0.992708408910346,0
1960-11-01,0.42293337450021795,1.5132328732430125,1.0902994987427945,0
1960-12-01,0.45223112808608334,1.327601466683518,0.8753703385974347,0
1961-01-01,0.45632502125150154,1.3272658323852937,0.8709408111337922,0
1961-02-01,0.45632502125150154,1.2364370426444395,0.780112021392938,0
1961-03-01,0.45632502125150154,1.2615908660821304,0.8052658448306289,0
1961-04-01,0.45632502125150154,1.2152121899005124,0.7588871686490108,0
1961-05-01,0.234668484950447,1.1817953231078775,0.9471268381574305,0
1961-06-01,0.234668484950447,1.2753659609222865,1.0406974759718395,0
1961-07-01,0.234668484950447,1.2543116964565542,1.0196432115061071,0
1961-08-01,0.06805565679799486,1.2149298597194331,1.1468742029214383,0
1961-09-01,0.06100115869034539,1.3328327388774142,1.2718315801870688,0
1961-10-01,0.06499385500168842,1.3070669168230324,1.242073061821344,0
1961-11-01,0.06499385500168842,1.0540759683153453,0.9890821133136569,0
1961-12-01,0.03900803864715385,1.1729473421512466,1.1339393035040928,0
1962-01-01,0.030392156463136644,1.26621756487026,1.2358254084071234,0
1962-02-01,0.22592844824676206,1.333499501495524,1.107571053248762,0
1962-03-01,0.24340920667495425,1.5386532112377864,1.2952440045628322,0
1962-04-01,0.4212523364519143,1.4183514774494625,0.9970991409975483,0
1962-05-01,0.41363543321037355,1.4289264413518907,1.0152910081415172,0
1962-06-01,0.41363543321037355,1.4640198511166318,1.0503844179062582,0
1962-07-01,0.41363543321037355,1.3936203158872758,0.9799848826769022,0
1962-08-01,0.40252732058456786,1.2993441405766646,0.8968168199920967,0
1962-09-01,0.41099939275743225,1.2967765839199785,0.8857771911625463,0
1962-10-01,0.40519116227710583,1.2593369961108465,0.8541458338337407,0
1962-11-01,0.40519116227710583,1.3146525120355363,0.9094613497584305,0
1962-12-01,0.40198045649677283,1.2580167735569887,0.8560363170602159,0
1963-01-01,0.40198045649677283,1.3304588851247274,0.9284784286279546,0
1963-02-01,0.294970232993677,1.2790554667322596,0.9840852337385826,0
